periodo,tipo_indicador,nombre,valor_promedio,valor_min,valor_max,valor_std
2018-03,morosidad,Morosidad Estresada,4.458870740720204,0.0,9.784120730861611,2.69190495929744
2018-03,morosidad,Morosidad Simple,2.12,2.12,2.12,
2018-03,principales,ROA,1.92,1.92,1.92,
2018-03,principales,ROE (Rentabilidad del Patrimonio),18.33,18.33,18.33,
2018-03,principales,Índice Solvencia,18.01,18.01,18.01,
2018-04,financieros,Activos Improductivos / Patrimonio Neto,2.14,2.14,2.14,
2018-04,financieros,Activos Netos Totales / Patrimonio Neto,9.69,9.69,9.69,
2018-04,financieros,Margen de Intermediación Neto,9.2,9.2,9.2,
2018-04,financieros,Spread de Tasas de Interés,11.38779988223737,11.38779988223737,11.38779988223737,
2018-04,morosidad,Morosidad Estresada,4.390770244879188,0.0,10.14142235636275,2.610594716008894
2018-04,morosidad,Morosidad Simple,2.13,2.13,2.13,
2018-04,principales,ROA,1.91,1.91,1.91,
2018-04,principales,ROE (Rentabilidad del Patrimonio),18.33,18.33,18.33,
2018-04,principales,Índice Solvencia,18.51,18.51,18.51,
2018-05,financieros,Activos Improductivos / Patrimonio Neto,2.11,2.11,2.11,
2018-05,financieros,Activos Netos Totales / Patrimonio Neto,9.59,9.59,9.59,
2018-05,financieros,Margen de Intermediación Neto,9.24,9.24,9.24,
