periodo,componente,promedio,minimo,maximo,entidades
2023-09,Sobrante o faltante,89986.92,89986.92,89986.92,1
2023-09,Índice de solvencia,14.54,14.54,14.54,1
2023-08,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1666973.68,1666973.68,1666973.68,1
2023-08,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,1914064.16,1914064.16,1914064.16,1
2023-08,Ajuste,-594.21,-594.21,-594.21,1
2023-08,Capital primario,241404.29,241404.29,241404.29,1
2023-08,Capital requerido por riesgo de mercado,247090.49,247090.49,247090.49,1
2023-08,Capital secundario,46911.1,46911.1,46911.1,1
2023-08,Patrimonio técnico ajustado,287721.17,287721.17,287721.17,1
2023-08,Sobrante o faltante,96314.76,96314.76,96314.76,1
2023-08,Índice de solvencia,15.03,15.03,15.03,1
2023-07,Índice de solvencia,15.09,15.09,15.09,1
2023-07,Sobrante o faltante,97435.6,97435.6,97435.6,1
2023-07,Patrimonio técnico ajustado,288763.83,288763.83,288763.83,1
2023-07,Capital secundario,47988.88,47988.88,47988.88,1
2023-07,Capital requerido por riesgo de mercado,253419.51,253419.51,253419.51,1
2023-07,Capital primario,241404.29,241404.29,241404.29,1
2023-07,Ajuste,-629.34,-629.34,-629.34,1
2023-07,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,1913282.29,1913282.29,1913282.29,1
2023-07,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1659862.78,1659862.78,1659862.78,1
2023-06,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1616876.73,1616876.73,1616876.73,1
2023-06,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,1826294.39,1826294.39,1826294.39,1
2023-06,Ajuste,-639.41,-639.41,-639.41,1
2023-06,Capital primario,240843.85,240843.85,240843.85,1
2023-06,Capital requerido por riesgo de mercado,209417.66,209417.66,209417.66,1
2023-06,Capital secundario,47959.39,47959.39,47959.39,1
2023-06,Sobrante o faltante,105534.39,105534.39,105534.39,1
2023-06,Índice de solvencia,15.78,15.78,15.78,1
2023-06,Patrimonio técnico ajustado,288163.83,288163.83,288163.83,1
2023-05,Capital requerido por riesgo de mercado,268124.94,268124.94,268124.94,1
2023-05,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1539331.75,1539331.75,1539331.75,1
2023-05,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,1807456.69,1807456.69,1807456.69,1
2023-05,Ajuste,-645.94,-645.94,-645.94,1
2023-05,Capital primario,240349.71,240349.71,240349.71,1
2023-05,Capital secundario,47936.82,47936.82,47936.82,1
2023-05,Patrimonio técnico ajustado,287640.59,287640.59,287640.59,1
2023-05,Sobrante o faltante,106894.92,106894.92,106894.92,1
2023-05,Índice de solvencia,15.91,15.91,15.91,1
2023-04,Capital requerido por riesgo de mercado,268806.16,268806.16,268806.16,1
2023-04,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1514037.47,1514037.47,1514037.47,1
2023-04,Ajuste,-798.44,-798.44,-798.44,1
2023-04,Capital primario,237092.64,237092.64,237092.64,1
2023-04,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,1782843.63,1782843.63,1782843.63,1
2023-04,Capital secundario,47933.3,47933.3,47933.3,1
2023-04,Sobrante o faltante,105943.14,105943.14,105943.14,1
2023-04,Patrimonio técnico ajustado,284227.5,284227.5,284227.5,1
2023-04,Índice de solvencia,15.94,15.94,15.94,1
2023-03,Capital requerido por riesgo de mercado,264647.47,264647.47,264647.47,1
2023-03,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1503734.9,1503734.9,1503734.9,1
2023-03,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,1768382.37,1768382.37,1768382.37,1
2023-03,Ajuste,-626.44,-626.44,-626.44,1
2023-03,Capital primario,233895.69,233895.69,233895.69,1
2023-03,Capital secundario,47804.48,47804.48,47804.48,1
2023-03,Patrimonio técnico ajustado,281073.74,281073.74,281073.74,1
2023-03,Sobrante o faltante,104235.5,104235.5,104235.5,1
2023-03,Índice de solvencia,15.89,15.89,15.89,1
2023-02,Capital primario,223354.22,223354.22,223354.22,1
